ID,Followers,Answers
20151104111812AA5xhAi,0,5
20151104111333AAWCqaQ,0,9
20151104095110AAZSdPK,0,10
20151104094903AAGbtAT,0,5
20151104094318AAT6voC,0,9
20151104081605AAt3RsK,0,6
20151104075916AA1bUta,0,7
20151104074925AASFvvN,1,10
20151104072738AAH1cP4,0,6
20151104071809AAlUMxk,0,0
20151104064235AAkq5HH,0,6
20151104064101AA6S0yc,0,6
20151104062419AAm3AAA,0,3
20151104053555AAio7pb,1,9
20151104045857AAEMeLH,0,5
20151104043901AASKRlm,0,5
20151104033300AALwzHl,0,5
20151104024809AAFPVGG,0,4
20151104023831AAZLEJC,0,10
20151104011513AAkKJwF,0,10
20151104005551AA7LANd,1,8
20151104004306AAgTK1a,0,10
20151104002636AAk6IGO,0,8
20151104000937AAY6WZK,0,4
20151104000741AAaPMNi,0,6
20151103233508AAxaUw2,0,8
20151103232358AALpA9H,0,10
20151103230454AAm8j76,0,3
20151103221400AA66YsZ,0,6
20151103215047AAEgRIx,0,9
20151103213854AAHuSLW,0,7
20151103213644AA4oGSu,0,9
20151103212332AAeroNj,0,6
20151103211006AAD45Gc,0,4
20151103201113AAvPwBa,0,9
20151103191521AAbT4rV,0,6
20151103191023AAh4PmX,0,10
20151103185546AAvZYF5,0,0
20151103175925AAl9aAb,0,10
20151103173318AArW3YS,2,9
20151103173206AAqpCDv,0,10
20151103172737AAwlxI9,0,9
20151103164949AAzp5uG,0,5
20151103162756AAsUkgl,0,9
20151103154607AAeCtWT,0,7
20151103154337AAxgSqx,0,10
20151103153208AAgtK9h,0,10
20151103150213AA3ihwL,1,10
20151103145420AAxWsFq,0,3
20151103142418AAp7PW0,1,10
20151103135839AAVaWqi,0,0
20151103130133AAGScZk,0,5
20151103130016AA8Egbx,2,9
20151103123906AAEfhCv,3,9
20151103123003AAoO6PO,0,4
20151103115951AAKYq4f,1,10
20151103113424AApUhna,0,10
20151103112052AAQpriT,2,9
20151103105651AAaS4uD,0,5
20151103104935AAtEF6C,0,7
20151103095242AAfyjvE,0,7
20151103094321AAodGAQ,0,5
20151103085124AA4Qt4z,0,8
20151103080410AAcDXr2,0,5
20151103075756AAgt9iy,0,4
20151103074725AASTk43,0,4
20151103073607AAur0mA,1,9
20151103065020AAlmzgy,0,10
20151103062417AAM258p,0,6
20151103061317AABfl2m,0,8
20151103055358AAf5nXG,0,10
20151103053937AATCqBT,0,9
20151103053212AA5QtxF,0,10
20151103052243AAbrn0E,0,0
20151103044943AAHyrCz,0,9
